,text,onset,offset
741,qu',241.09,241.17
742,une,241.17,241.35
743,montagne,241.35,241.9
744,change,241.9,242.21
745,de,242.21,242.35
746,place,242.35,242.86
747,,242.86,243.46482364256394
748,Il,243.46482364256394,243.56576216746896
749,,243.56576216746896,243.57463588394413
750,est,243.57463588394413,243.7
751,très,243.7,243.95
752,rare,243.95,244.42
753,qu',244.42,244.52
754,un,244.52,244.65
755,océan,244.65,245.08
756,se,245.08,245.3
757,vide,245.3,245.65
758,de,245.65,245.77
759,son,245.77,246.09
760,eau,246.09,246.21
761,,246.21,246.95
762,Nous,246.95,247.15
763,écrivons,247.15,247.74
764,des,247.74,247.86
765,choses,247.86,248.34
766,,248.34,248.54
767,éternelles,248.54,249.41
768,,249.41,250.3
769,Mais,250.3,250.54
770,les,250.54,250.77
771,volcans,250.77,251.15
772,éteints,251.15,251.49
773,peuvent,251.49,251.6
774,se,251.6,251.83
775,réveiller,251.83,252.36
776,,252.36,252.66
777,interrompit,252.66,253.29
778,le,253.29,253.43
779,petit,253.43,253.7
780,prince,253.7,254.27
781,,254.27,254.85
782,Qu',254.85,254.92
783,est,254.92,255.02
784,-ce,255.02,255.11
785,que,255.11,255.2
786,signifie,255.2,255.96
787,,255.96,256.16
788,éphémère,256.16,256.97
789,,256.97,257.8
790,Que,257.8,258.05
791,les,258.05,258.16
792,volcans,258.16,258.7
793,soient,258.7,258.91
794,éteints,258.91,259.27
795,ou,259.27,259.4
796,soient,259.4,259.7
797,éveillés,259.7,260.28
798,,260.28,260.51
799,ça,260.51,260.7
800,revient,260.7,261.06
801,au,261.06,261.15
802,même,261.15,261.46
803,pour,261.46,261.65
804,nous,261.65,261.89
805,autres,261.89,262.29
806,,262.29,262.68
807,dit,262.68,262.91
808,le,262.91,262.95
809,,262.95,263.02
810,géographe,263.02,263.72
811,,263.72,264.51
812,Ce,264.51,264.84
813,,264.84,264.88
814,qui,264.88,265.03
815,compte,265.03,265.41
816,pour,265.41,265.63
817,nous,265.63,265.88
818,,265.88,265.95
819,c',265.95,266.04
820,est,266.04,266.12
821,la,266.12,266.27
822,montagne,266.27,267.04
823,,267.04,267.52
824,Elle,267.52,267.71
825,ne,267.71,267.83
826,change,267.83,268.25
827,pas,268.25,268.45
828,,268.45,269.4
829,Mais,269.4,269.71
830,qu',269.71,269.79
831,est,269.79,269.97
832,-ce,269.97,270.01
833,que,270.01,270.09
834,signifie,270.09,270.72
835,éphémère,270.72,271.43
836,,271.43,271.84
837,répéta,271.84,272.3
838,le,272.3,272.4
839,petit,272.4,272.7
840,prince,272.7,273.23
841,qui,273.23,273.61
842,,273.61,273.72
843,de,273.72,273.99
844,sa,273.99,274.32
845,vie,274.32,274.59
846,,274.59,274.86
847,n',274.86,274.96
848,avait,274.96,275.21
849,renoncé,275.21,275.86
850,à,275.86,275.96
851,une,275.96,276.08
852,question,276.08,276.61
853,,276.61,276.87
854,une,276.87,277.04
855,fois,277.04,277.29
856,qu',277.29,277.43
857,il,277.43,277.63
858,l',277.63,277.65
859,avait,277.65,277.88
860,posée,277.88,278.35
861,,278.35,279.44
862,Ça,279.44,279.68
863,signifie,279.68,280.31
864,qui,280.31,280.5068189077663
865,est,280.5068189077663,280.64
866,menacé,280.64,281.27
867,de,281.27,281.41
868,disparition,281.41,282.24
869,prochaine,282.24,282.99
870,,282.99,283.83
871,Ma,283.83,284.02
872,fleur,284.02,284.42
873,est,284.42,284.51
874,menacée,284.51,284.99
875,de,284.99,285.16
876,disparition,285.16,285.77
877,prochaine,285.77,286.23
878,,286.23,287.17
879,Bien,287.17,287.42
880,sûr,287.42,287.96
881,,287.96,288.72
882,«Ma,288.72,288.9
